node1	label	node2	id
colorname	property	True	
colorname	isa	colorclass	
colorname	node1_type	symbol	
colorname	node2_type	symbol	
colorname	node2_values	red	
colorname	node2_values	green	
colorname	node2_values	blue	
colorname	node2_values	yellow	
colorclass	mustoccur	True	
shape	property	True	
shape	node1_type	symbol	
shape	node2_type	symbol	
shape	switch	shapetest1	
shapetest1	isa	cube	
shapetest1	nextcase	shapetest2	
shapetest2	isa	cone	
shapetest2	nextcase	shapetest3	
shapetest3	isa	sphere	
shapetest3	nextcase	shapetest4	
shapetest4	isa	pyramid	
shapetedt4	nextcase	shapetest5	
shapetest5	isa	cylinder	
cube	datatype	True	
cube	isa	boxshape	
cube	node2_values	cube	
cone	datatype	True	
cone	isa	pointyshape	
cone	isa	roundshape	
cone	node2_values	cone	
sphere	datatype	True	
sphere	isa	roundshape	
sphere	node2_values	sphere	
pyramid	datatype	True	
pyramid	isa	pointyshape	
pyramid	node2_values	pyramid	
cylinder	datatype	True	
cylinder	isa	roundshape	
cylinder	node2_values	cylinder	
boxshape	datatype	True	
boxshape	isa	shapeclass	
pointyshape	datatype	True	
pointyshape	isa	shapeclass	
roundshape	datatype	True	
roundshape	isa	shapeclass	
shapeclass	datatype	True	
shapeclass	mustoccur	True	
