node1	label	node2	id
red	property	True	
red	isa	rgbcolor	
red	maxoccurs	1	
green	property	True	
green	isa	rgbcolor	
green	maxoccurs	1	
blue	property	True	
blue	isa	rgbcolor	
blue	maxoccurs	1	
rgbcolor	datatype	True	
rgbcolor	node1_type	symbol	
rgbcolor	node2_type	number	
rgbcolor	minval	0.0	
rgbcolor	maxval	1.0	
rgbcolor	requires	red	
rgbcolor	requires	green	
rgbcolor	requires	blue	
rgbcolor	isa	colorclass	
rgbcolor	prohibits	colorname	
colorname	property	True	
colorname	isa	colorclass	
colorname	node1_type	symbol	
colorname	node2_type	number	
colorname	node2_values	red	
colorname	node2_values	green	
colorname	node2_values	blue	
colorname	node2_values	yellow	
colorclass	mustoccur	True	
