node1	label	node2	node1;total	average
P10	p585-count	73	3879	53.136986301369866
P1000	p585-count	16	266	16.625
P101	p585-count	5	157519	31503.8
P1018	p585-count	2	177	88.5
P102	p585-count	295	414726	1405.8508474576272
P1025	p585-count	26	693	26.653846153846153
P1026	p585-count	40	6930	173.25
P1027	p585-count	14	10008	714.8571428571429
P1028	p585-count	1131	4035	3.5676392572944295
P1029	p585-count	4	2643	660.75
P1035	p585-count	4	366	91.5
P1037	p585-count	60	9317	155.28333333333333
P1040	p585-count	1	45073	45073.0
P1050	p585-count	246	226380	920.2439024390244
