event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,prefix,split
PersonX 'd better go,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""avoidant"", ""weak"", ""hurried"", ""late"", ""Tardy"", ""busy""]","[""She ran to the bathroom"", ""She finally made it"", ""leaves"", ""runs away""]","[""to go somewhere else more important."", ""none""]","[""none"", ""none"", ""none""]","[""the person feels happy since he arrived at his destination."", ""rushed, in a hurry""]","[""to escape from him"", ""to resign his job"", ""to leave on time"", ""to arrive home"", ""to relax and unwind"", ""to walk away"", ""not speak to anyone""]","[""better"", ""go""]",dev
PersonX abandons ___ altogether,"[""none"", ""none""]","[""dejected""]","[""none"", ""none"", ""to find a new job for him"", ""to support him""]","[""impatient"", ""decisive"", ""undependable"", ""fickle"", ""destructed"", ""sad""]","[""gets a reputation as a quitter"", ""hangs head in shame"", ""Begins the process of change"", ""Turns over a new leaf""]","[""put a stop""]","[""Plows the field."", ""Gets exhausted from it."", ""none"", ""to give a resignation letter"", ""to get permission from his parents""]","[""authoritative""]","[""Sell his land."", ""Was just city."", ""to start something new"", ""to start fresh"", ""to find a new job"", ""to search for a new job""]","[""abandons"", ""altogether""]",trn
PersonX abandons the ___ altogether,"[""none"", ""none"", ""none""]","[""defeat""]","[""none"", ""to do something else as well"", ""they find something better"", ""none""]","[""flaky"", ""irresponsible"", ""desperate"", ""convinced"", ""decisive"", ""frustrated""]","[""eats all the cakes"", ""abandons his diets too"", ""repercussions for leaving all responsibilities"", ""they go home"", ""they try to form a different plan"", ""they search for a different alternative""]","[""to appear not interested""]","[""none"", ""to get frustrated"", ""to determine it's not worth it"", ""none""]","[""pressurized""]","[""to go out"", ""to find other place"", ""find something else to do"", ""to do the project the best he can"", ""sigh in relief"", ""find another project""]","[""abandons"", ""altogether""]",trn
PersonX abolishes ___ altogether,"[""none"", ""none"", ""none""]","[""none""]","[""to be free"", ""to do things of their own wish"", ""for things to change for the better"", ""for their to be a better law""]","[""ruthless"", ""destructive"", ""strict"", ""determined"", ""successful"", ""joyful""]","[""loss money"", ""change house"", ""get loan"", ""person x is free"", ""person x lives"", ""to abolishes to altogether"", ""to gether voice""]","[""give a punishment in person""]","[""to have a plan"", ""to have a reason"", ""to know the law"", ""to not like it""]","[""he was sad""]","[""human to be free"", ""not to feel pain"", ""to make a new law"", ""to change things for the betters""]","[""abolishes"", ""altogether""]",trn
PersonX abolishes ___ in the states,"[""none""]","[""none""]","[""to celebrate"", ""to write about the new law"", ""to move past this event"", ""to be free"", ""none""]","[""bold"", ""authoritative"", ""determined"", ""heroic"", ""empathativ"", ""thoughtful"", ""proud"", ""moral"", ""principaled""]","[""none""]","[""this is unhappiness for people""]","[""to find a problem"", ""to find out to stop that problem"", ""to acquire power and/or influence"", ""to know how the legal system works""]","[""sad""]","[""to enforce the ruling"", ""memorialize the law"", ""fairness"", ""to do the right thing"", ""to go good"", ""to make others happy""]","[""abolishes"", ""states""]",trn
PersonX abolishes the ___ altogether,"[""none"", ""the people lost the documents"", ""the people   loss the  trust""]","[""grateful"", ""disrespected""]","[""to publish an article"", ""to find other pursuits"", ""to follow the laws"", ""to protest""]","[""dedicated"", ""furious"", ""powerful"", ""influencial""]","[""set free"", ""become independent"", ""lost the data"", ""lost the documents""]","[""to end it"", ""to do it his way""]","[""find a lawyer"", ""file a lawsuit"", ""to gather information"", ""to collaborate with others""]","[""happy"", ""like he's the boss""]","[""to celebrate"", ""to write a paper"", ""to implement rules"", ""to communicate the laws with others""]","[""abolishes"", ""altogether""]",trn
PersonX about to get married,"[""their partner is in a legal relationship"", ""their partner's legal status changes"", ""says yes"", ""Gets dress""]","[""like they have a lifelong companion"", ""happy""]","[""to spend the rest of their life with personx"", ""to be happy with personx"", ""to start a family"", ""to go on vacation""]","[""excited"", ""anxious"", ""anxious"", ""nervous"", ""brave""]","[""they are in a legal relationship"", ""their legal status changes"", ""Get a tuxedo"", ""Gets ring""]","[""to share his life with someone"", ""to marry someone""]","[""meet someone"", ""get engaged"", ""to meet someone"", ""to really like them""]","[""like he has someone he feels that way about"", ""happy""]","[""to live happily ever after"", ""to be happily married"", ""to go on a honey moon"", ""to start a family""]","[""get"", ""married""]",trn
PersonX absolutely loved,"[""none"", ""none""]","[""happy.""]","[""none"", ""to marry him"", ""to accompany him all his life""]","[""caring"", ""faithful"", ""Passionate"", ""Caring"", ""gentle"", ""loving""]","[""none"", ""gains knowledge"", ""is entertained""]","[""to marry.""]","[""none"", ""none""]","[""romantic.""]","[""to tell others"", ""write a review"", ""to propose to her"", ""to marry her""]","[""absolutely"", ""loved""]",trn
PersonX absolutely loved ___,"[""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""compassionate"", ""friendly"", ""hungry"", ""excited"", ""enthusiastic"", ""amiable"", ""good-natured""]","[""smiles when they think about the event"", ""smiles when they see dogs""]","[""to see different places"", ""to enjoy"", ""to express devotion"", ""to read""]","[""to see what they want"", ""to try it out"", ""none"", ""none""]","[""happy"", ""satisfied"", ""excited"", ""pleasant"", ""relaxed""]","[""to feel satisfied"", ""to do it again"", ""Visit her often."", ""Takes her for walks."", ""to enjoy more of"", ""to share with others""]","[""absolutely"", ""loved""]",trn
PersonX absolutely loved it,"[""none"", ""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""enthused"", ""appreciative"", ""satisfied"", ""contented"", ""Delighted"", ""Amazed""]","[""stomped feet"", ""laughed"", ""takes it home"", ""buys it"", ""found a new interest"", ""gained knowledge""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""ecstatic over his gift"", ""happy"", ""joyful""]","[""to buy more"", ""to eat more"", ""to take pictures."", ""to buy more."", ""to use it"", ""to show it to everyone"", ""to thank the person who gave it to them""]","[""absolutely"", ""loved""]",trn
