node,property,value
aida-item:VEH.Aircraft,rdf:type,owl:Class
aida-item:PER.Protester.ProtestLeader,rdf:type,owl:Class
aida-item:CRM.ViolentCrime.Terrorism,rdf:type,owl:Class
aida-item:Conflict.Yield,rdf:type,owl:Class
aida-item:COM.Document,rdfs:subClassOf,aida-item:COM
aida-item:PER.ProfessionalPosition.Scientist,rdf:type,owl:Class
aida-item:PersonalSocial.Unspecified,rdfs:subClassOf,aida-item:Relation
aida-item:PER.Politician,rdf:type,owl:Class
aida-item:Contact.ThreatenCoerce,rdfs:subClassOf,aida-item:Event
aida-item:WEA.Cannon.Cannon,rdfs:subClassOf,aida-item:WEA
aida-item:WEA.MissileSystem.Missile,rdf:type,owl:Class
aida-item:Contact.CommitmentPromiseExpressIntent,rdf:type,owl:Class
aida-item:Transaction.TransferOwnership,rdf:type,owl:Class
aida-item:ORG.CommercialOrganization,rdf:type,owl:Class
aida-item:SID.Sports.Sports,rdfs:subClassOf,aida-item:SID
aida-item:Inspection.SensoryObserve.InspectPeopleOrganization,rdfs:subClassOf,aida-item:Inspection.SensoryObserve
aida-item:Contact.Discussion.Meet,rdf:type,owl:Class
aida-item:FAC.Installation.MilitaryInstallation,rdf:type,owl:Class
aida-item:ORG.Association.Club,rdf:type,owl:Class
aida-item:PER.Police.ChiefOfPolice,rdfs:subClassOf,aida-item:PER.Police
aida-item:VEH.MilitaryVehicle.MilitaryTransportAircraft,rdf:type,owl:Class
aida-property-type:dataType,rdf:type,owl:ObjectProperty
aida-item:Measurement.Size.HeightLengthWidth,rdfs:subClassOf,aida-item:Measurement.Size
aida-item:Personnel.EndPosition.QuitRetire,rdf:type,owl:Class
aida-item:Personnel.EndPosition,rdfs:subClassOf,aida-item:Event
aida-entity:9789ff8a-7d0a-45cc-9b2a-9a7465182d09,aida-property:Information.Make.Make_Brand,aida-entity:11d2d098-804e-4379-afa0-7475a6a9986f
aida-item:VEH.MilitaryVehicle.FighterAircraft,rdf:type,owl:Class
aida-item:Transaction.TransferMoney.BorrowLend,rdf:type,owl:Class
aida-item:VEH.Aircraft.Airplane,rdf:type,owl:Class
aida-item:Contact.FuneralVigil.Meet,rdf:type,owl:Class
aida-item:PER.ProfessionalPosition.Journalist,rdfs:subClassOf,aida-item:PER.ProfessionalPosition
aida-item:Contact.Prevarication.Broadcast,rdf:type,owl:Class
aida-property-type:DateTime,rdf:type,aida-property-type:Value
aida-item:WEA.Bullets,rdf:type,owl:Class
aida-item:ORG.CommercialOrganization.Corporation,rdf:type,owl:Class
aida-entity:42fe32a7-57a6-499e-9043-d45cf4522f76,aida-property:OrganizationAffiliation.Leadership_Organization,aida-entity:b993cba5-67e3-4e8e-b843-0f8103af98a0
aida-item:COM.Flag.Flag,rdf:type,owl:Class
aida-item:LOC.Position.Field,rdf:type,owl:Class
aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.OwnershipPossession_Artifact,rdf:type,owl:ObjectProperty
aida-item:VEH.MilitaryVehicle.FighterAircraft,rdfs:subClassOf,aida-item:VEH.MilitaryVehicle
aida-item:Conflict.Yield.Surrender,rdfs:subClassOf,aida-item:Conflict.Yield
aida-property:Measurement.Size.Count_EntityOrFiller,rdf:type,owl:ObjectProperty
aida-item:OrganizationAffiliation.EmploymentMembership,rdf:type,owl:Class
aida-property:GeneralAffiliation.MemberOriginReligionEthnicity_Person,rdf:type,owl:ObjectProperty
aida-item:COM.Equipment,rdf:type,owl:Class
aida-item:Movement.TransportArtifact.PreventEntry,rdfs:subClassOf,aida-item:Movement.TransportArtifact
aida-item:Life.Die.NonviolentDeath,rdfs:subClassOf,aida-item:Life.Die
aida-property:GeneralAffiliation.MemberOriginReligionEthnicity.Ethnicity_Person,rdf:type,owl:ObjectProperty
aida-item:ORG.PoliticalOrganization,rdf:type,owl:Class
aida-item:Contact.FuneralVigil.Meet,rdfs:subClassOf,aida-item:Contact.FuneralVigil
