id	node1	label	node2
	terminator2_jd	label	"Terminator 2"@en
	terminator2_jd	instance_of	film
	terminator2_jd	genre	science_fiction
	terminator2_jd	genre	action
t4	terminator2_jd	cast	a_schwarzenegger
	t4	role	terminator
t6	terminator2_jd	cast	l_hamilton
	t6	role	s_connor
t8	terminator2_jd	award	academy_best_sound_editing
	t8	point_in_time	^1992-03-30T00:00:00Z/11
	t8	winner	g_rydstrom
	t8	winner	g_borders
	l_hamilton	label	"Linda Hamilton"@en
	a_schwarzenegger	label	"Arnold Schwarzenegger"@en
	film	subclass_of	visual_artwork
	terminator2_jd	publication_date	^1984-10-26T00:00:00Z/11
	t15	location	united_states
	terminator2_jd	publication_date	^1985-02-08T00:00:00Z/11
	t17	location	sweden
	terminator2_jd	duration	108minute
	instance_of	label	"instance of"@en
