node1	label	node2	datasource	weight
/c/en/0_12_0s/n	/r/FormOf	/c/en/0_12_0	CN	1.0
/c/en/100_hamburger/n	mw:IsPOSFormOf	/c/en/100_hamburger	CN	1.0
/c/en/110_proof/a	/r/RelatedTo	/c/en/strong+at:strong+rg:strong+vg:strong	CN	1.0
/c/en/1_d	/r/HasContext	rg:medicine+at:medicine+vg:medicine+/c/en/medicine	CN	1.0
/c/en/1_up/n	/r/HasContext	vg:video_games+/c/en/video_games+at:video_games	CN	1.0
/c/en/2.0	mw:POSForm	/c/en/2.0/a	CN	1.0
/c/en/200+vg:200	vg:InImage	vg:I2398766	VG	1.0
/c/en/2_maccabees/n	mw:OMWordnetOffset	/c/en/2_maccabees/n/wn/communication	CN	1.0
/c/en/2mass/n	/r/RelatedTo	vg:ass+/c/en/ass+rg:ass	CN	1.0
/c/en/2sls/n	/r/Synonym	/c/en/tsls	CN	1.0
/c/en/4_4_4_4	/r/RelatedTo	/c/en/4_4_4_4s/n	CN	1.0
/c/en/540/n	/r/SimilarTo	vg:180+/c/en/180	CN	1.0
/c/en/aa/n	/r/Synonym	/c/en/aa_lava	CN	1.0
/c/en/abased+rg:abased	/r/RelatedTo	/c/en/abasedness/n	CN	1.0
/c/en/abashest/v	mw:PartOfSpeech	mw:Verb	CN	1.0
/c/en/abattoirlike/a	mw:PartOfSpeech	mw:Adjective	CN	1.0
/c/en/abba/n	mw:PartOfSpeech	mw:Noun	CN	1.0
/c/en/abderite/n	/r/RelatedTo	/c/en/democritus	CN	1.0
/c/en/abdicating	/r/RelatedTo	/c/en/abdicant/a	CN	1.0
/c/en/abdicatives/n	/r/FormOf	/c/en/abdicative	CN	1.0
/c/en/abdominothoracic/a	mw:IsPOSFormOf	/c/en/abdominothoracic	CN	1.0
/c/en/abduction+rg:abduction	/r/RelatedTo	/c/en/trojan_war/n	CN	1.0
/c/en/abductor/n/wikt/en_2	/r/RelatedTo	rg:median+/c/en/median+vg:median	CN	1.0
/c/en/abeds/n	/r/FormOf	/c/en/abed+rg:abed	CN	1.0
/c/en/abembryonic/a	/r/RelatedTo	/c/en/blastocyst	CN	1.0
/c/en/ability+rg:ability	/r/Synonym	at:capacity+rg:capacity+/c/en/capacity	ROGET	1.0
/c/en/abneurally	/r/DerivedFrom	/c/en/abneural	CN	1.0
/c/en/abnormospermia	mw:POSForm	/c/en/abnormospermia/n	CN	1.0
/c/en/abolisher	/r/RelatedTo	/c/en/abolishers/n	CN	1.0
/c/en/about+at:about+vg:about+rg:about	/r/Synonym	vg:some+/c/en/some+rg:some+at:some	ROGET	1.0
/c/en/about+at:about+vg:about+rg:about	vg:subject	vg:cover+rg:cover+/c/en/cover	VG	1.0
/c/en/abraham_coves/n	/r/FormOf	/c/en/abraham_cove	CN	2.0
